a glass of water	I drink a glass of water every morning.
about	We talked about our homework yesterday.
active	My grandfather is very active.
activity diagram	I am drawing an activity diagram now.
actors	The actors in this diagram use the system.
afternoon	We played badminton yesterday afternoon.
always	She always eats breakfast at home.
answer	I wrote the answer in my notebook.
approved	The manager approved my request yesterday.
are at	My parents are at the supermarket.
are sitting	The children are sitting on the floor.
attend	I attend an English class every Monday.
aunt	My aunt cooked dinner yesterday.
badminton	We are playing badminton now.
bag	She put her book in her bag.
bedroom	I am cleaning my bedroom.
begin	Our lessons begin at eight every morning.
behind	The cat is behind the door.
believe	I believe your story.
boil	I boil water every morning.
boring	The film was boring.
bowl of soup	She is eating a bowl of soup.
break	I sometimes break a glass when I wash the dishes.
breakfast	I had breakfast at seven yesterday.
bring	I bring my notebook to class every day.
build	They build small houses.
burger	He ate a burger for lunch yesterday.
busy	My mother is busy today.
can i have it?	That sandwich looks good. Can I have it?
candy	The children like candy.
careful	She is careful with hot water.
cds	My father bought two CDs yesterday.
chair	He is sitting on a chair.
cheap	This shirt is cheap.
chef	The chef is cooking soup.
chess	I played chess with my brother yesterday.
children	The children are playing in the garden.
classmate	My classmate helped me yesterday.
clock	The clock is on the wall.
clothes	I am washing my clothes.
cloudy	It was cloudy yesterday.
coat	She is wearing a warm coat.
come	My friends come here every Sunday.
completed	I completed my homework last night.
cost	These shoes cost twenty dollars.
cousin	My cousin lives near my school.
cry	Babies often cry when they are hungry.
cta primary	The primary CTA opens the registration form.
cta secondary	The secondary CTA shows more information.
customs	We showed our bags to the officer at customs.
cycle	I cycle to school every day.
daughter	His daughter is reading a book.
delicious	The soup was delicious.
desk	My book is on the desk.
dessert	We had ice cream for dessert.
digital counter	The digital counter shows ten visitors.
dishes	I am washing the dishes.
do you work here?	Excuse me, do you work here?
dress	She bought a new dress yesterday.
drink	I drink water with every meal.
east	The sun rises in the east.
enjoy	We enjoy music.
enumeration	This enumeration contains three values.
evening	I read books in the evening.
exam	We took an English exam yesterday.
excerpt	I am reading an excerpt from a novel.
excuse me	Excuse me, where is the train station?
expensive	This phone is expensive.
expired	My passport expired last month.
fall	The leaves turn yellow in the fall.
famous	This restaurant is famous for its soup.
father	My father is making dinner.
firefighter	The firefighter helped a child yesterday.
flat	We live in a small flat.
floor	She is cleaning the floor.
france	My aunt visited France last year.
free time	I play chess in my free time.
friday	We have English lessons on Friday.
